MainManager	497	108	0	0	0	0	1	1	1	1
CATRigRArmDigit43	-0.033668	0	-4.69327E-08	-2.836252E-06	-6.931652E-07	-1.475217E-06	1	0.9999999	0.9999999	1
CATRigLArmDigit53	-0.02471792	0	3.330707E-08	2.338402E-06	6.6757E-07	-3.725306E-07	1	0.9999999	1	0.9999999
CATRigLArmDigit43	-0.0336681	0	4.466176E-08	2.338402E-06	6.675705E-07	-3.874318E-07	1	0.9999999	1	0.9999999
CATRigRArmDigit53	-0.02471782	1.937866E-07	-3.330707E-08	-2.836252E-06	-6.931645E-07	-1.475217E-06	1	0.9999999	0.9999999	1
CATRigRArmDigit52	-0.03277978	9.689331E-08	-4.541874E-08	-2.836246E-06	-6.931507E-07	-1.430514E-06	1	0.9999999	0.9999999	1
CATRigRArmDigit42	-0.0431339	1.937866E-07	-5.980134E-08	-2.836246E-06	-6.931505E-07	-1.475217E-06	1	0.9999999	0.9999999	1
CATRigLArmDigit52	-0.03277973	0	4.239082E-08	2.338405E-06	6.675853E-07	-3.278272E-07	1	0.9999999	1	0.9999999
CATRigLArmDigit42	-0.0431337	0	5.828738E-08	2.338405E-06	6.675847E-07	-3.874318E-07	1	0.9999999	1	0.9999999
RWristUpnode	6.065521E-05	1.269302E-05	-0.3399939	0.2791211	0.6496869	0.6496829	0.2791244	1.000003	0.9999976	0.9999997
CATRigRArmDigit51	-0.1087195	9.689331E-08	0.02389799	-2.836245E-06	-6.93142E-07	-1.475217E-06	1	0.9999999	0.9999999	1
CATRigRArmDigit41	-0.1087196	1.937866E-07	0.002681481	-2.836245E-06	-6.931418E-07	-1.475217E-06	1	0.9999999	0.9999999	1
EyeBoneREnd	-0.1801459	1.937866E-07	-9.689331E-08	-2.777252E-07	0.01699952	-0.02828528	0.9994553	1	1	1
EyeBoneLEnd	-0.1801458	0	0	2.248713E-08	-0.01699956	-0.02828532	0.9994553	1	1	0.9999999
LWristUpnode	6.22055E-05	1.036758E-05	0.3399896	-0.6496845	0.2791233	-0.2791224	0.6496853	0.9999974	1.000002	1
CATRigLArmDigit51	-0.1087195	0	-0.02389798	2.338409E-06	6.675943E-07	-3.874318E-07	1	0.9999999	1	0.9999999
CATRigLArmDigit41	-0.1087197	1.937866E-07	-0.002681485	2.338409E-06	6.67594E-07	-3.874318E-07	1	0.9999999	1	0.9999999
CATRigLArmDigit11	-0.04525499	0.007785959	0.03650432	0.3116578	0.3314824	0.105507	0.8842269	0.9999985	1.000004	0.9999968
L  HandTwist	-0.03127532	1.937866E-07	-0.01387421	2.33841E-06	6.651879E-07	-3.521843E-07	1	0.8039069	1	0.9999999
CATRigRArmDigit11	-0.04525514	0.007785959	-0.03650435	-0.3116572	-0.3314821	0.1055082	0.8842271	0.999997	1.000005	0.9999976
HairBone12	-0.08460462	1.937866E-07	1.937866E-07	0.4266055	0.4582486	0.2668153	0.7326838	1	0.9999995	0.9999998
HairBone41	-0.171032	0	1.574516E-07	6.705521E-08	1.398881E-14	2.086163E-07	1	0.9999999	1	1
HairBone21	-0.1432482	7.266998E-08	1.211166E-08	0.0341287	0.3064825	0.3463737	0.8859622	0.9999996	1	1
HairBone11	-0.07270642	-6.298065E-07	1.4534E-07	-0.4850525	-0.1538232	-0.3301779	0.7950127	0.9999999	0.9999995	1
EyeTargetR	0.05699982	0.005999934	-0.01099987	0.002811194	-0.02670622	-1.78814E-07	0.9996394	1	1	1
EyeTargetL	-0.05600018	0.005999913	-0.0109999	0.002811388	0.02623819	-1.490117E-07	0.9996518	1	1	1
HairBone31	-0.08369625	-2.846241E-07	2.906799E-07	0.04485149	-0.2088258	-0.1974932	0.9567532	1	0.9999999	0.9999999
HeadUnityAxis	0	0	0	-0.5000001	0.5	0.4999999	0.5	1	1	1
HairBone4	-0.17004	0.1307743	0.005823094	-0.1549335	0.6660825	0.6899241	0.2373487	0.9999999	0.9999998	0.9999995
HairBone3	-0.01584942	-0.00442744	-0.1177866	0.02430444	0.9783411	-0.006205859	-0.2054739	1	1	1
HairBone2	-0.1501546	0.05677887	0.1301345	-0.0140922	0.7070915	0.7069608	-0.005435462	1	1	1
HairBone1	-0.1548289	0.140776	-0.05451586	-0.1817446	0.7065128	0.6833516	0.02896725	1	0.9999999	0.9999999
Eyes	0	-0.002	0	-0.7071068	0	0	0.7071068	1	1	1
RAnkleUpnode3	0.197	0.156	0	0.5005747	0.5011184	0.5016978	-0.4965931	1.000001	1	1
RAnkleUpnode2	-0.1592607	0.1576711	-0.001543456	0.5005746	0.5011184	0.5016978	-0.4965931	1	0.9999997	1
CATRig1Bone001	-0.1338927	-0.1024944	0.0002394597	0	-1.446096E-10	0	1	1	1	1
PointElbowPointL001	-0.2792572	2.422333E-08	1.937866E-07	-0.0638053	-0.0004332868	0.0001065251	0.9979623	1	1	0.9999998
LUpperTwistArmUpnode	-2.713013E-06	0.3372233	-0.04330549	0.9205965	0.02463818	0.3852656	0.05886811	1.000001	1	0.9999996
BackRibbon L Tail end	-0.1975577	-5.298853E-07	1.065826E-06	-0.3517557	-0.4682912	-0.01009414	0.8104749	1	1	1
RUpperTwistArmUpnode	3.391266E-06	0.3372241	0.04329978	0.3852657	-0.0588685	0.9205965	-0.02463803	0.9999995	0.9999999	1
PointElbowPointR	-0.2792573	0	2.906799E-07	-0.6801224	-0.009980844	0.7329518	-0.01075573	1	0.9999998	1
BackRibbon R Tail end	-0.1975571	-4.420757E-07	1.550293E-06	-0.3521665	-0.4654352	0.08844364	0.8071719	1	1	1
SkirtBone036	-0.2527298	0.007845591	-0.01820054	0.802083	0.006151822	0.2963435	0.5184646	1	1	1
BackRibbon L Tail03	-0.1779989	0	-2.422333E-08	0.5025386	-0.1960077	-0.2570634	0.8018444	0.9999999	0.9999999	1
SkirtBone021	-0.275858	-0.002007551	-0.005004152	0.4113542	0.1358259	-0.2523188	0.8652597	1	1	1
SkirtBone033	-0.2750173	0.005402559	-0.01771617	0.7559126	0.1209719	0.01109776	0.6433031	1	1	1
CATRigRLegDigit11	-3.674073E-05	-0.0001013443	-0.0001798703	-0.001012919	0.0005691973	-0.4212245	0.9069557	1	1	0.9999999
SkirtBone024	-0.2641223	-0.000830848	-0.007254402	0.5611487	0.1896014	-0.2294029	0.7723586	1	1	1
SkirtBone018	-0.2616849	-0.002951164	-0.004177458	0.1111281	0.2370785	-0.1247494	0.9570172	1	1	1
Point ClavicleR	0	0	0	-4.371138E-08	-7.549836E-08	4.371161E-08	1	1	1	1
SkirtBone030	-0.2591827	0.001331441	-0.01243296	0.7066838	0.1661478	-0.1018114	0.6801671	1	1	1
Point ClavicleL	1.211166E-08	6.055832E-09	0	-4.969508E-21	-2.185613E-08	-2.273737E-13	1	1	1	1
Bone001_SHoulder L	-0.08112372	-4.541874E-09	0	4.677207E-07	0.1968799	-1.121128E-06	0.9804276	1	1	1
SkirtBone027	-0.2852128	-0.0001132501	-0.01040392	0.6207144	0.1986424	-0.1763567	0.7376674	1	1	1
SkirtBone015	-0.2552656	-4.965782E-05	-0.002951855	0.1265216	0.4044972	0.07719566	0.9024495	1	1	1
SkirtBone0012	-0.251918	3.258037E-05	-0.0006312114	-0.01485308	0.4393021	0.0006319286	0.8982164	1	1	1
SkirtBone023	-0.1557776	0.0007126624	-0.0005666321	-0.01119	-0.2682067	-0.04666105	0.9621657	1	1	1
Point RAnkle Foward2	0.411	-0.032	0	-1.156703E-06	-1.655426E-07	1.464287E-07	1	1	1	1
SkirtBone0011	-0.2014395	-6.673527E-06	-0.0001548355	0.01577598	-0.281813	-0.04156165	0.9584389	1	1	1
BackRibbon L end	-0.149408	0	-3.027916E-08	2.273735E-13	-3.124597E-15	-7.024617E-05	1	0.9999999	0.9999999	1
BackRibbon R end	-0.1494085	0	0	-8.742244E-08	1.065814E-14	9.317606E-22	1	1	1	1
Skirt	-4.446294E-06	-0.08520925	0.01506376	-0.7071068	0	0	0.7071068	1	1	1
Point002	0.0003581177	2.006682	0.5589443	-0.7071068	0	0	0.7071068	1	1	1
Point001	0	0	0	-0.7071068	0	0	0.7071068	1	1	1
Mouse	0.0003581116	2.025196	0.06271889	-0.7071068	0	0	0.7071068	0.9538571	0.9538572	0.9538572
Hairpin	0.0004663233	1.848002	0.02915738	-0.7071068	0	0	0.7071068	0.9538572	0.9538573	0.9538572
Hair	0.0004663233	1.848002	0.02915738	-0.7071068	0	0	0.7071068	0.9538572	0.9538573	0.9538572
Face	0.0003581177	2.025196	0.06271887	-0.7071068	0	0	0.7071068	0.9538571	0.9538572	0.9538572
EyeHighlightR	0.0003581116	2.025196	0.06271889	-0.7071068	0	0	0.7071068	0.9538571	0.9538572	0.9538572
EyeHighlightL	0.0003581116	2.025196	0.06271888	-0.7071068	0	0	0.7071068	0.9538571	0.9538572	0.9538572
Eye	0.0003581116	2.025196	0.06271889	-0.7071068	0	0	0.7071068	0.9538571	0.9538572	0.9538572
Body	-4.446294E-06	-0.08520925	0.01506376	-0.7071068	0	0	0.7071068	1	1	1
BackRibbon	-4.446294E-06	-0.08520925	0.01506376	-0.7071068	0	0	0.7071068	1	1	1
SkirtBone029	-0.1738639	0.0003595711	0.001137818	-0.009863837	-0.2448277	-0.02371041	0.9692265	1	1	1
